path_code,prompt,left_option,center_option,right_option
,"Ah, we’ve reached the first fork in our path. To the left we have plants with normal, simple, basic leaves. If you asked someone on the street to draw a leaf, it would probably look like these leaves. To the right we have lobed leaves or leaves that are made of smaller leaflets but are still each basically “leaf” shaped. And up the center we have odd leaves… lacy, round, grassy, chunky… you get the idea.",Go left,Go up the center,Go right
1,"Categories are important here in the garden, though perhaps a bit eccentric and confusing. Honestly, some of the categories almost feel arbitrary to me. Ah, our path will now split again. Would you like to go towards plants that are found in food, plants found in drinks (or are juice-able, some of our gardeners perhaps over use their juicers), or plants that are not food? ",Go towards drinks,Go towards food,Go towards not-food
11,"Ah, plants you can drink… or find in drinks. This is one of my favorite areas. Along this path we have plants in the Rosaceae family, plants drunk as “juices” and “nectars,” and “specialty” drinks. Watch your step now.",Go towards specialty drinks,Go towards Rosaceae plants,Go towards the juices and nectars
111,"Speciality drinks. I’m partial to the plants with caffeine, those are some special drinks! Some plants up this way have caffeine, some are garnishes, and for some, it’s actually the roots that get used in drinks! Very special!",Go towards plants with caffeine,Go towards roots,Go towards garnishes
112,"The Rosaceae family. Such beautiful flowers, so delicate. From here the plants are separated by genus.",Go towards Malus,Go towards Prunus,Go towards Pyrus
113,"Other drinkable plants, usually juices and nectars.  ",Go towards citrus,Go towards guava,Go towards the rest
12,Plants that are eaten as food that have basic leaves.,Go towards herby foods,Go towards hearty foods,Go towards foods that make my mouth feel odd
121,Simple or basic leaved herb plants.,Go towards sage and other salvias,Go towards basil,Go towards thyme
122,"Hearty food plants, also with simple leaves.",Go towards avocados,Go towards “round-ish” nuts,Go towards elongated nuts
123,Plants that make my mouth feel funny. But not haha funny.,Go towards plants that make my mouth feel hot,Go towards plants that make my mouth feel cool,Go towards plants that make my mouth feel weird
13,"Non-food plants with basic leaves. Here we separate by size. The trees (usually taller than a house), the tall shrubs (at full maturity, may be as short as a person), and some smaller plants.",Go towards trees,Go towards shrubs,Go towards small plants
131,"Trees with simple, basic leaves that are not used in food. You’d think trees would branch around here but you’d be wrong. Here we have some willows, some dogwoods, and some magnolias. Which would you like to go towards?",Willows,Dogwoods,Magnolias
132,Shrubs with basic leaves that are not food. These plants can be as tall as a person or two… but not five. Which would you like to go towards?,Lilacs,Hydrangeas,Camellias
133,Small plants with simple leaves that are not used in food. Which would you like to go towards?,Ones that are actually quite toxic,Rudbeckias,Ground huggers
2,"Ah, plants with strange leaves. Some of my favorite plants are here. We have all of the leaves that are not exactly shaped like leaves. I didn’t make the categories, I just go with what the gardeners tell me. Let’s see, this way we have plants with scented leaves, succulent plants, and plants that are neither scented nor succulent. ",Go towards plants with scented leaves,Go towards succulent plants,"Go towards non-scented, non-succulent plants"
21,"Here we are at the plants with strange-shaped and strongly scented leaves. Bump into anything along this way and your nose will let you know. Would you rather go towards allium species, lacy-leaved plants, or everything else scented and strange-leaved?",Alliums,"Plants with frilly, lacy, scented leaves",The rest
211,Alliums. Very tasty.,Check out the garlics,Head towards the onions,Investigate those other alliums
212,"Lacy-leaved, aromatically-leaved plants. Some of these are used as herbs in cooking, while others are grown for their flowers. What would you like to see? Or smell? ",The more robust herbs,"The more delicate herbs, at least when you use the leaves",The plants usually grown for their flowers
213,"The other aromatically-leaved, strange-leaved plants. The rest of the rest. What sorts of leaf shapes are you most interested in right now?",Really thin leaves but not needles,Leaves that conifers have,Round or grassy leaves
22,Succulents. Truly odd-looking plants. Some have transparent windows in their leaves! And some turned their leaves into spines! And some did neither. What kind are you most interested in right now?,Ones that have transparent “windows”,Ones that have spines,Ones without spines or windows
221,Succulents that have transparent windows in the leaves. Some find them rather adorable. The gardeners have grouped them by their overall shape. What shape appeals to you right now?,Shaped like a pile of pebbles,In a rosette shape,Other shapes
222,Succulents with spines or bristles. Do be careful if you want to handle them. They have distinctive growth forms. Which would you like to head towards?,Ones that grow in tall columns,Ones that grow as a ball or barrel,Ones that grow flat paddles
223,Plants with succulent leaves but no spines and no windows. What next?,Go towards plants that are all rosettes,Go towards plants that look like strings of various things,Go towards plants that look like blades or tongues
